iter	MultiClass
0	1.050505858
1	1.014653584
2	0.9825916919
3	0.9547606862
4	0.9279597884
5	0.9058580224
6	0.8828865156
7	0.8642816659
8	0.8489634446
9	0.8360867885
10	0.8222655369
11	0.809143597
12	0.7989348263
13	0.7897837526
14	0.7807034328
15	0.7714969448
16	0.7642409306
17	0.7567798236
18	0.7503227277
19	0.743207855
20	0.7367860014
21	0.7298422817
22	0.7256930861
23	0.7193377213
24	0.7151873634
25	0.7106481515
26	0.7053250939
27	0.7014461336
28	0.6974879296
29	0.6932522355
30	0.6891987683
31	0.6864339222
32	0.682992685
33	0.679227449
34	0.6774426221
35	0.6752052557
36	0.6726069577
37	0.6698837274
38	0.6667682007
39	0.6641776691
40	0.660995997
41	0.6583024724
42	0.6553090114
43	0.653500579
44	0.6493946154
45	0.6463989807
46	0.6438878616
47	0.6412826025
48	0.6387790736
49	0.6362386722
50	0.6337552846
51	0.6316560969
52	0.6296915775
53	0.627762741
54	0.6255580485
55	0.6239968681
56	0.6211261388
57	0.6193397749
58	0.6172942983
59	0.6161093131
60	0.613737524
61	0.6122084017
62	0.6107206124
63	0.6091368401
64	0.6069538966
65	0.6050110774
66	0.6032065504
67	0.601368148
68	0.5992218759
69	0.5979170139
70	0.5961002961
71	0.5948846549
72	0.5937664893
73	0.5926863894
74	0.5913213558
75	0.5898685914
76	0.5881353215
77	0.5863774095
78	0.5846362358
79	0.5829713833
80	0.5822012021
81	0.5810848747
82	0.5801327426
83	0.5787630422
84	0.5769277046
85	0.5758792493
86	0.5743656433
87	0.572869914
88	0.5709620821
89	0.569043803
90	0.5666616979
91	0.5658810732
92	0.5645321882
93	0.5637478087
94	0.56218406
95	0.5610130844
96	0.5598199123
97	0.5593146244
98	0.5568670239
99	0.5555977804
100	0.5542469662
101	0.55216422
102	0.5506758662
103	0.5493483088
104	0.5481203743
105	0.5469012981
106	0.5457254617
107	0.5440993245
108	0.5431021212
109	0.5414556554
110	0.5408749781
111	0.5396841397
112	0.538375821
113	0.5366091132
114	0.5358653423
115	0.5343809218
116	0.5335337473
117	0.5322592165
118	0.5308915217
119	0.529626146
120	0.5285976559
121	0.5268635757
122	0.5252772719
123	0.5236874818
124	0.522680643
125	0.521766157
126	0.5196286963
127	0.5185427732
128	0.5169255402
129	0.5155411378
130	0.5146716501
131	0.5136492744
132	0.5126252015
133	0.5113980362
134	0.5100801113
135	0.50957727
136	0.5086788381
137	0.5073098675
138	0.5064429447
139	0.5049697991
140	0.5038991659
141	0.5025567901
142	0.5016761946
143	0.5011334914
144	0.4998015955
145	0.4988963833
146	0.4976320694
147	0.4967866048
148	0.4961742541
149	0.495359397
150	0.4940910807
151	0.4932177508
152	0.4920877951
153	0.491287978
154	0.4904425849
155	0.4896649705
156	0.487776355
157	0.486429609
158	0.4855995719
159	0.4845795461
160	0.4830732596
161	0.4823663361
162	0.4815587407
163	0.4807870395
164	0.4798108326
165	0.4784591932
166	0.4769398652
167	0.4762498265
168	0.4757333287
169	0.4747258692
170	0.4735686003
171	0.4726572659
172	0.4721306686
173	0.4718079762
174	0.4711999541
175	0.4701647183
176	0.4695254233
177	0.469034775
178	0.4681809705
179	0.467545692
180	0.4664827666
181	0.4659559873
182	0.4651376238
183	0.4643776465
184	0.4638328477
185	0.4624105795
186	0.4612907821
187	0.4600340315
188	0.459219487
189	0.4586582344
190	0.4578292512
191	0.4572431401
192	0.456282602
193	0.455005095
194	0.4538283268
195	0.4530763314
196	0.4526736507
197	0.4520219347
198	0.4511205639
199	0.4508101576
200	0.4499289413
592575
201	0.4510162895
202	0.4501098188
203	0.4489491959
204	0.4483346274
205	0.4478638564
206	0.4468357107
207	0.4458868181
208	0.4453411368
209	0.4444183389
210	0.4432802511
211	0.442620798
212	0.4417596397
213	0.4413359397
214	0.4405007363
215	0.4393785396
216	0.4389452761
217	0.4381927524
218	0.4374407494
219	0.4366983955
220	0.4356533318
221	0.4350081359
222	0.4340783601
223	0.433136523
224	0.4323576773
134264
226	0.4288017032
227	0.4278329183
228	0.4271845244
229	0.426234299
230	0.4258198029
	0.4088873766
231	0.4079937773
232	0.4069341731
233	0.4060846202
234	0.4055456744
235	0.4047445714
236	0.4043370316
237	0.4034619013
238	0.4027411798
239	0.4017943365
240	0.4010453594
241	0.4037139023
242	0.4029162888
243	0.4020171631
244	0.4010747308
245	0.4002020037
246	0.3993754338
247	0.3988554814
248	0.3984352673
249	0.3974544851
250	0.3964159773
251	0.3958288229
252	0.3952841117
253	0.3944176668
254	0.3939674499
255	0.3935656564
6	0.396179656
257	0.3954826235
258	0.3948274969
259	0.3944707838
260	0.3938248193
261	0.392989827
262	0.392409743
263	0.3914932019
264	0.3912057425
265	0.3906121833
266	0.3901442658
267	0.3893581202
268	0.3884319852
269	0.3878740627
270	0.3871743735
271	0.3866633209
272	0.3863050603
273	0.3855440652
274	0.3851571367
275	0.3841357524
276	0.3833620856
277	0.3826864114
278	0.3820623195
279	0.3814736695
280	0.3809192074
281	0.3803408839
3910092983
283	0.3908162745
284	0.3899927984
285	0.3889728519
286	0.3883335726
287	0.3876680372
288	0.3872731118
289	0.3864063967
290	0.3852935344
291	0.3843785637
292	0.3837393158
293	0.3830324608
294	0.3823488524
295	0.3812608823
296	0.3807499625
297	0.3799668636
298	0.37872916
299	0.3779409342
300	0.3776308013
301	0.3770798292
