iter	Passed	Remaining
0	6	6128
1	10	5470
2	16	5408
3	39	9716
4	44	8845
5	60	10061
6	66	9365
7	70	8797
8	75	8364
9	80	7989
10	89	8035
11	94	7810
12	105	8008
13	115	8143
14	120	7943
15	127	7820
16	136	7881
17	141	7733
18	146	7583
19	152	7464
20	157	7347
21	176	7831
22	192	8183
23	198	8067
24	214	8353
25	219	8232
26	234	8460
27	240	8351
28	242	8121
29	244	7912
30	247	7736
31	249	7542
32	251	7358
33	255	7251
34	257	7105
35	260	6978
36	262	6838
37	265	6710
38	267	6598
39	270	6486
40	273	6390
41	275	6281
42	277	6177
43	279	6075
44	281	5980
45	283	5887
46	286	5803
47	288	5724
48	290	5642
49	292	5566
50	294	5488
51	297	5416
52	299	5345
53	301	5277
54	304	5232
55	306	5171
56	308	5110
57	310	5050
58	313	4994
59	315	4936
60	317	4886
61	320	4845
62	322	4797
63	324	4749
64	326	4703
65	329	4657
66	331	4612
67	333	4569
68	335	4529
69	338	4491
70	340	4451
71	342	4420
72	345	4384
73	347	4348
74	349	4311
75	351	4274
76	354	4244
77	356	4213
78	358	4180
79	360	4147
80	362	4116
81	365	4087
82	367	4060
83	369	4034
84	372	4009
85	374	3979
86	376	3951
87	378	3924
88	380	3896
89	382	3870
90	385	3849
91	387	3829
92	390	3806
93	392	3783
94	395	3763
95	397	3741
96	399	3719
97	402	3705
98	405	3690
99	407	3671
100	410	3651
101	413	3637
102	415	3618
103	418	3602
104	420	3583
105	422	3563
106	424	3544
107	426	3525
108	429	3507
109	431	3490
110	433	3474
111	436	3457
112	438	3439
113	440	3424
114	442	3407
115	445	3391
116	447	3373
117	449	3363
118	452	3349
119	454	3332
120	456	3317
121	458	3303
122	460	3286
123	463	3272
124	465	3257
125	468	3246
126	470	3233
127	472	3219
128	474	3204
129	476	3192
130	479	3177
131	481	3165
132	484	3155
133	486	3142
134	488	3129
135	490	3118
136	492	3104
137	494	3091
138	497	3078
139	499	3070
140	502	3063
141	505	3052
142	507	3040
143	509	3028
144	511	3017
145	513	3005
146	516	2996
147	521	3002
148	523	2991
149	525	2979
150	528	2969
151	530	2959
152	532	2950
153	535	2939
154	537	2930
155	539	2920
156	542	2910
157	544	2900
158	546	2891
159	549	2882
160	551	2874
161	553	2864
162	555	2854
163	558	2845
164	560	2835
165	562	2827
166	565	2819
167	567	2811
168	569	2801
169	571	2791
170	573	2782
171	575	2772
172	578	2764
173	580	2756
174	583	2749
175	585	2740
176	587	2730
177	589	2721
178	591	2713
179	593	2705
180	596	2699
181	599	2694
182	601	2686
183	603	2678
184	606	2670
185	608	2661
186	610	2654
187	612	2646
188	615	2639
189	617	2632
190	619	2623
191	621	2615
192	623	2607
193	625	2599
194	627	2590
195	630	2584
196	632	2577
197	634	2569
198	636	2562
199	638	2555
200	640	2548
201	643	2540
202	645	2533
203	647	2527
204	649	2520
205	651	2513
206	654	2505
207	656	2498
208	658	2491
209	660	2486
210	663	2480
211	665	2473
212	667	2467
213	670	2461
214	672	2455
215	674	2449
216	677	2443
217	679	2438
218	681	2431
219	683	2425
220	686	2418
221	688	2411
222	690	2406
223	692	2399
224	695	2395
225	698	2390
226	700	2384
227	702	2378
228	705	2375
229	707	2369
230	709	2363
231	712	2358
232	714	2353
233	716	2347
234	719	2341
235	721	2336
236	724	2331
237	726	2326
238	728	2320
239	731	2314
240	733	2309
241	735	2303
242	737	2298
243	739	2292
244	742	2288
245	745	2283
246	747	2278
247	749	2272
248	751	2266
249	753	2261
250	756	2256
251	758	2250
252	760	2246
253	763	2241
254	765	2236
255	767	2231
256	770	2226
257	772	2221
258	774	2215
259	777	2211
260	779	2206
261	781	2201
262	783	2195
263	785	2190
264	787	2185
265	789	2179
266	792	2175
267	795	2172
268	797	2167
269	799	2161
270	802	2157
271	804	2152
272	806	2147
273	809	2143
274	811	2139
275	813	2134
276	816	2130
277	818	2125
278	820	2120
279	822	2116
280	825	2111
281	827	2106
282	829	2101
283	831	2096
284	833	2091
285	835	2086
286	838	2082
287	840	2077
288	842	2073
289	844	2068
290	847	2064
291	849	2059
292	851	2055
293	853	2050
294	856	2046
295	859	2044
296	861	2039
297	863	2034
298	865	2029
299	867	2025
300	870	2020
301	872	2017
302	875	2013
303	877	2008
304	879	2004
305	882	2000
306	884	1996
307	886	1991
308	888	1987
309	891	1984
310	894	1980
311	896	1976
312	898	1972
313	900	1967
314	902	1962
315	904	1958
316	907	1954
317	909	1950
318	911	1946
319	913	1942
320	915	1937
321	918	1933
322	920	1928
323	922	1924
324	924	1920
325	926	1916
326	929	1912
327	931	1908
328	933	1904
329	936	1900
330	938	1896
331	940	1893
332	942	1888
333	945	1884
334	947	1881
335	949	1877
336	952	1873
337	954	1869
338	956	1865
339	959	1862
340	961	1857
341	963	1853
342	965	1849
343	967	1845
344	970	1841
345	972	1838
346	974	1834
347	976	1830
348	978	1826
349	981	1822
350	983	1818
351	985	1814
352	988	1811
353	990	1807
354	992	1803
355	994	1799
356	997	1796
357	999	1792
358	1002	1789
359	1004	1786
360	1007	1783
361	1009	1778
362	1011	1775
363	1013	1771
364	1015	1766
365	1017	1763
366	1020	1760
367	1022	1756
368	1024	1752
369	1027	1748
370	1029	1744
371	1031	1740
372	1033	1737
373	1035	1734
374	1038	1730
375	1040	1726
376	1042	1722
377	1044	1719
378	1047	1715
379	1049	1712
380	1051	1708
381	1053	1705
382	1056	1701
383	1058	1698
384	1060	1694
385	1062	1690
386	1065	1687
387	1067	1683
388	1069	1680
389	1072	1677
390	1074	1673
391	1077	1670
392	1079	1667
393	1081	1664
394	1084	1661
395	1088	1660
396	1091	1658
397	1107	1675
398	1113	1677
399	1121	1682
400	1125	1681
401	1129	1679
402	1132	1677
403	1136	1677
404	1140	1675
405	1143	1672
406	1145	1669
407	1149	1667
408	1153	1666
409	1155	1663
410	1159	1661
411	1161	1657
412	1164	1654
413	1168	1653
414	1171	1651
415	1174	1648
416	1176	1645
417	1179	1642
418	1183	1641
419	1186	1637
420	1189	1635
421	1192	1633
422	1196	1631
423	1202	1632
424	1205	1631
425	1208	1628
426	1212	1627
427	1216	1626
428	1220	1623
429	1222	1620
430	1224	1616
431	1226	1612
432	1228	1608
433	1230	1605
434	1233	1601
435	1235	1598
436	1237	1594
437	1239	1591
438	1242	1587
439	1244	1583
440	1246	1580
441	1249	1577
442	1251	1573
